acc1,acc2,acc3,acc4,acc5,mean_acc
0.5,0.8333333333333334,0.5,0.6851851851851852,0.6481481481481481,0.6333333333333334
0.8333333333333334,0.7592592592592593,0.5555555555555556,0.9074074074074074,0.7592592592592593,0.762962962962963
0.5555555555555556,0.5,0.5555555555555556,0.5,0.5,0.5222222222222223
0.6666666666666666,0.6111111111111112,0.5925925925925926,0.5555555555555556,0.5925925925925926,0.6037037037037036
0.5,0.5,0.5,0.5,0.5,0.5
0.8518518518518519,0.8703703703703703,0.8333333333333334,0.8703703703703703,0.8148148148148148,0.8481481481481481
0.7962962962962963,0.7592592592592593,0.7037037037037037,0.6481481481481481,0.5555555555555556,0.6925925925925925
0.5,0.5,0.5,0.5,0.5,0.5
0.7222222222222222,0.8703703703703703,0.7962962962962963,0.6481481481481481,0.6851851851851852,0.7444444444444445
0.85,0.75,0.85,0.85,0.85,0.8300000000000001
0.7,0.8,0.85,0.85,0.75,0.79
0.95,0.9,0.95,0.95,0.85,0.9199999999999999
0.85,0.75,0.8,0.75,0.8,0.79
0.6,0.6,0.65,0.65,0.65,0.63
0.9,0.85,0.9,0.9,0.9,0.89
0.85,0.8,0.85,0.9,0.8,0.8400000000000001
0.65,0.7,0.8,0.65,0.6,0.68
0.85,0.75,0.75,0.8,0.7,0.7700000000000001
0.8457142857142858,0.8457142857142858,0.8285714285714286,0.8228571428571428,0.8228571428571428,0.8331428571428571
0.8285714285714286,0.8285714285714286,0.84,0.8228571428571428,0.8285714285714286,0.8297142857142857
0.7828571428571428,0.76,0.7771428571428571,0.7771428571428571,0.7428571428571429,0.768
0.8514285714285714,0.84,0.8457142857142858,0.8685714285714285,0.84,0.8491428571428571
0.5771428571428572,0.49142857142857144,0.49714285714285716,0.4857142857142857,0.48,0.5062857142857142
0.7828571428571428,0.8114285714285714,0.8057142857142857,0.8,0.84,0.808
0.8457142857142858,0.8342857142857143,0.8342857142857143,0.8228571428571428,0.8285714285714286,0.8331428571428571
0.7085714285714285,0.46285714285714286,0.3942857142857143,0.42857142857142855,0.56,0.5108571428571429
0.64,0.72,0.6971428571428572,0.6857142857142857,0.72,0.6925714285714285
0.3333333333333333,0.4666666666666667,0.3,0.3,0.3,0.34
0.5666666666666667,0.7666666666666667,0.8,0.8,0.8333333333333334,0.7533333333333334
0.4,0.4,0.4,0.4,0.4,0.4
