,acc1,acc2,acc3,acc4,acc5,mean_acc
HouseTwenty_jitter,0.9243697478991597,0.957983193277311,0.957983193277311,0.9411764705882353,0.957983193277311,0.9478991596638655
HouseTwenty_scaling,0.9831932773109243,0.957983193277311,0.957983193277311,0.9747899159663865,0.957983193277311,0.9663865546218486
HouseTwenty_window_slice,0.9663865546218487,0.9159663865546218,0.9495798319327731,0.9411764705882353,0.9663865546218487,0.9478991596638655
HouseTwenty_window_warp,0.957983193277311,0.957983193277311,0.9747899159663865,0.957983193277311,0.9663865546218487,0.9630252100840335
HouseTwenty_time_warp,0.957983193277311,0.9663865546218487,0.957983193277311,0.957983193277311,0.9663865546218487,0.961344537815126
HouseTwenty_rotation,0.9663865546218487,0.9915966386554622,0.9747899159663865,0.9747899159663865,0.957983193277311,0.9731092436974791
HouseTwenty_magnitude_warp,0.9831932773109243,0.9495798319327731,0.9495798319327731,0.9495798319327731,0.9495798319327731,0.9563025210084033
HouseTwenty_spawner,0.8991596638655462,0.8823529411764706,0.8739495798319328,0.907563025210084,0.9159663865546218,0.8957983193277311
HouseTwenty_wdba,0.957983193277311,0.8907563025210085,0.9327731092436975,0.8571428571428571,0.9159663865546218,0.9109243697478991
InsectEPGSmallTrain_jitter,0.1686746987951807,0.4738955823293173,0.4738955823293173,0.0,0.0,0.22329317269076307
InsectEPGSmallTrain_scaling,0.1686746987951807,0.08032128514056225,0.1686746987951807,0.4738955823293173,0.5301204819277109,0.28433734939759037
InsectEPGSmallTrain_window_slice,0.44176706827309237,0.0,0.4538152610441767,0.0,0.1686746987951807,0.21285140562248994
InsectEPGSmallTrain_window_warp,0.0,0.642570281124498,0.1686746987951807,0.1686746987951807,0.14457831325301204,0.2248995983935743
InsectEPGSmallTrain_time_warp,0.0,0.07228915662650602,0.46586345381526106,0.0,0.0,0.10763052208835341
InsectEPGSmallTrain_rotation,0.4738955823293173,0.4738955823293173,0.642570281124498,0.4738955823293173,0.4738955823293173,0.5076305220883535
InsectEPGSmallTrain_magnitude_warp,0.46987951807228917,0.4738955823293173,0.0,0.0,0.4859437751004016,0.2859437751004016
InsectEPGSmallTrain_spawner,0.0,0.4738955823293173,0.0,0.4457831325301205,0.4738955823293173,0.278714859437751
InsectEPGSmallTrain_wdba,0.0,0.20080321285140562,0.1686746987951807,0.0642570281124498,0.0,0.08674698795180721
MedicalImages_jitter,0.7118421052631579,0.7144736842105263,0.7513157894736842,0.7381578947368421,0.7315789473684211,0.7294736842105263
MedicalImages_scaling,0.7539473684210526,0.7473684210526316,0.7539473684210526,0.7684210526315789,0.7605263157894737,0.7568421052631579
MedicalImages_window_slice,0.7421052631578947,0.75,0.7486842105263158,0.7421052631578947,0.7473684210526316,0.7460526315789473
MedicalImages_window_warp,0.7526315789473684,0.7631578947368421,0.7618421052631579,0.7671052631578947,0.7684210526315789,0.7626315789473684
MedicalImages_time_warp,0.6842105263157895,0.6710526315789473,0.6552631578947369,0.6921052631578948,0.6736842105263158,0.6752631578947368
MedicalImages_rotation,0.6986842105263158,0.725,0.725,0.7144736842105263,0.7052631578947368,0.7136842105263158
MedicalImages_magnitude_warp,0.7723684210526316,0.7802631578947369,0.7723684210526316,0.7684210526315789,0.7618421052631579,0.7710526315789474
MedicalImages_spawner,0.6302631578947369,0.6539473684210526,0.6342105263157894,0.6276315789473684,0.6302631578947369,0.6352631578947369
MedicalImages_wdba,0.65,0.6486842105263158,0.6302631578947369,0.6276315789473684,0.6355263157894737,0.638421052631579
Rock_jitter,0.64,0.56,0.58,0.68,0.7,0.632
Rock_scaling,0.6,0.6,0.52,0.52,0.52,0.552
Rock_window_slice,0.6,0.5,0.58,0.62,0.58,0.5760000000000001
Rock_window_warp,0.38,0.58,0.58,0.5,0.66,0.54
Rock_time_warp,0.52,0.72,0.62,0.58,0.72,0.632
Rock_rotation,0.54,0.38,0.6,0.58,0.54,0.528
Rock_magnitude_warp,0.56,0.7,0.58,0.66,0.58,0.616
Rock_spawner,0.5,0.52,0.42,0.34,0.36,0.42800000000000005
Rock_wdba,0.34,0.38,0.48,0.32,0.34,0.372
Adiac_jitter,0.28388746803069054,0.4884910485933504,0.6521739130434783,0.4322250639386189,0.4782608695652174,0.4670076726342711
