,acc1,acc2,acc3,acc4,acc5,mean_acc
MelbournePedestrian_jitter,0.8786387863878639,0.9122591225912259,0.8433784337843379,0.8946289462894629,0.8462484624846248,0.875030750307503
MelbournePedestrian_scaling,0.9458794587945879,0.8921689216892169,0.8454284542845428,0.8774087740877409,0.8417384173841739,0.8805248052480525
MelbournePedestrian_window_slice,0.8601886018860189,0.8265682656826568,0.8224682246822468,0.8728987289872898,0.8495284952849529,0.8463304633046331
MelbournePedestrian_window_warp,0.8851988519885199,0.8589585895858959,0.8757687576875769,0.8839688396883969,0.8339483394833949,0.8675686756867569
MelbournePedestrian_time_warp,0.8605986059860599,0.8089380893808938,0.8560885608856088,0.8556785567855678,0.8753587535875359,0.8513325133251332
MelbournePedestrian_rotation,0.9286592865928659,0.923739237392374,0.923739237392374,0.9216892168921689,0.9159491594915949,0.9227552275522755
MelbournePedestrian_magnitude_warp,0.9179991799917999,0.915539155391554,0.9380893808938089,0.9171791717917179,0.8376383763837638,0.9052890528905287
MelbournePedestrian_spawner,0.9122591225912259,0.906109061090611,0.9081590815908159,0.9130791307913079,0.8733087330873309,0.9025830258302582
MelbournePedestrian_wdba,0.9192291922919229,0.8720787207872078,0.8942189421894219,0.8933989339893399,0.8843788437884379,0.8926609266092662
FaceFour_jitter,0.9545454545454546,0.9545454545454546,0.9659090909090909,0.9659090909090909,0.9545454545454546,0.959090909090909
FaceFour_scaling,0.9659090909090909,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9568181818181818
FaceFour_window_slice,0.9431818181818182,0.9659090909090909,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454547
FaceFour_window_warp,0.9318181818181818,0.9545454545454546,0.8977272727272727,0.9318181818181818,0.9431818181818182,0.9318181818181819
FaceFour_time_warp,0.6363636363636364,0.5681818181818182,0.6477272727272727,0.8068181818181818,0.5909090909090909,0.65
FaceFour_rotation,0.875,0.8522727272727273,0.8977272727272727,0.8636363636363636,0.8636363636363636,0.8704545454545455
FaceFour_magnitude_warp,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9431818181818182,0.9431818181818182,0.95
FaceFour_spawner,0.8522727272727273,0.8295454545454546,0.75,0.7840909090909091,0.8295454545454546,0.809090909090909
FaceFour_wdba,0.8522727272727273,0.8295454545454546,0.8636363636363636,0.8409090909090909,0.8863636363636364,0.8545454545454545
SonyAIBORobotSurface1_jitter,0.9833610648918469,0.9667221297836939,0.9916805324459235,0.9767054908485857,0.9800332778702163,0.9797004991680532
SonyAIBORobotSurface1_scaling,0.9850249584026622,0.9916805324459235,0.9916805324459235,0.9717138103161398,0.9900166389351082,0.9860232945091514
SonyAIBORobotSurface1_window_slice,0.9584026622296173,0.9384359400998337,0.9667221297836939,0.9534109816971714,0.9733777038269551,0.9580698835274543
SonyAIBORobotSurface1_window_warp,0.9584026622296173,0.9650582362728786,0.9650582362728786,0.9667221297836939,0.956738768718802,0.9623960066555741
SonyAIBORobotSurface1_time_warp,0.7903494176372712,0.7104825291181365,0.8086522462562395,0.8136439267886856,0.7637271214642263,0.7773710482529118
SonyAIBORobotSurface1_rotation,0.9367720465890182,0.9450915141430949,0.9317803660565723,0.956738768718802,0.9450915141430949,0.9430948419301165
SonyAIBORobotSurface1_magnitude_warp,0.9850249584026622,0.9833610648918469,0.9850249584026622,0.9700499168053245,0.9833610648918469,0.9813643926788685
SonyAIBORobotSurface1_spawner,0.9118136439267887,0.8618968386023295,0.9367720465890182,0.9034941763727121,0.8868552412645591,0.9001663893510814
SonyAIBORobotSurface1_wdba,0.9450915141430949,0.9450915141430949,0.9484193011647255,0.9700499168053245,0.956738768718802,0.9530782029950083
MiddlePhalanxOutlineAgeGroup_jitter,0.6038961038961039,0.6038961038961039,0.6038961038961039,0.5844155844155844,0.6428571428571429,0.6077922077922078
MiddlePhalanxOutlineAgeGroup_scaling,0.5454545454545454,0.5584415584415584,0.5909090909090909,0.577922077922078,0.512987012987013,0.5571428571428572
MiddlePhalanxOutlineAgeGroup_window_slice,0.36363636363636365,0.36363636363636365,0.3181818181818182,0.34415584415584416,0.3181818181818182,0.3415584415584415
MiddlePhalanxOutlineAgeGroup_window_warp,0.577922077922078,0.5324675324675324,0.5064935064935064,0.5324675324675324,0.538961038961039,0.5376623376623376
MiddlePhalanxOutlineAgeGroup_time_warp,0.4155844155844156,0.42207792207792205,0.42857142857142855,0.45454545454545453,0.3961038961038961,0.4233766233766234
MiddlePhalanxOutlineAgeGroup_rotation,0.461038961038961,0.5324675324675324,0.4805194805194805,0.474025974025974,0.43506493506493504,0.4766233766233766
MiddlePhalanxOutlineAgeGroup_magnitude_warp,0.538961038961039,0.525974025974026,0.487012987012987,0.5584415584415584,0.538961038961039,0.5298701298701298
MiddlePhalanxOutlineAgeGroup_spawner,0.538961038961039,0.5909090909090909,0.6103896103896104,0.6038961038961039,0.5844155844155844,0.5857142857142856
MiddlePhalanxOutlineAgeGroup_wdba,0.6038961038961039,0.5974025974025974,0.6103896103896104,0.6103896103896104,0.5844155844155844,0.6012987012987013
MiddlePhalanxTW_jitter,0.5,0.461038961038961,0.461038961038961,0.44805194805194803,0.4675324675324675,0.4675324675324675
MiddlePhalanxTW_scaling,0.512987012987013,0.4935064935064935,0.512987012987013,0.5584415584415584,0.5454545454545454,0.5246753246753247
MiddlePhalanxTW_window_slice,0.4935064935064935,0.38961038961038963,0.4805194805194805,0.512987012987013,0.512987012987013,0.47792207792207797
MiddlePhalanxTW_window_warp,0.538961038961039,0.5,0.5,0.5194805194805194,0.5194805194805194,0.5155844155844156
